Power,Velocity Ratio,N1,N2,d1,d2,S_d1,S_d2,material,z1,z2,b,BHN1,BHN2,weight
20.0,3.0,1200,400.0,200,600,220.6,220.0,,50,150,40.0,350,300,12.5664
25.0,2.5,1000,400.0,180,450,200.0,180.0,,36,90,50.0,200,180,9.2245
25.0,4.0,1200,300.0,64,256,516.8,516.8,,16,64,40.0,400,400,2.1876
20.0,3.0,300,100.0,120,360,120.0,100.0,,12,36,100.0,200,180,11.3097
20.0,3.225806451612903,1000,310.0,155,500,206.81,137.34,,31,100,50.0,400,350,10.7609
25.0,6.0,900,150.0,128,768,103.0,55.0,,12,76,100.0,300,225,47.6115
20.0,3.0,1200,400.0,80,240,233.4,233.4,,16,48,50.0,400,400,2.5133
55.0,3.2,800,250.0,160,512,233.4,233.4,,20,64,80.0,400,400,18.0795
12.0,3.9,1170,300.0,100,390,220.0,78.5,,16,65,60.0,200,180,7.6388
20.0,3.0,300,100.0,150,450,120.0,100.0,,15,45,100.0,200,180,17.6715
5.0,3.0,900,300.0,100,300,200.0,140.0,,33,100,30.0,400,400,2.3562
15.0,2.8,1400,500.0,150,432,55.0,55.0,,18,54,80.0,225,225,13.1396
10.0,2.0,400,200.0,400,800,233.4,233.4,,133,266,30.0,300,250,18.8496
10.0,4.0,1440,360.0,90,360,400.0,400.0,,30,120,30.0,400,400,3.2445
22.5,2.5,1450,580.0,140,350,273.3,133.3,,28,70,50.0,400,400,5.5803
7.5,2.1,1500,714.2857142857142,76,160,200.0,200.0,,21,45,35.0,400,400,0.8625
5.3,2.05,1450,707.3170731707318,60,123,200.0,200.0,,20,41,30.0,400,400,0.4413
