Power,Velocity Ratio,N1,N2,d1,d2,S_d1,S_d2,material,z1,z2,b,BHN1,BHN2,weight
20.0,3.0,1200,nan,200,600,220.6,220.0,Steel-steel,50,150,40.0,350,300,12.5664
25.0,2.5,1000,nan,180,450,200.0,180.0,Steel-ci,36,90,50.0,250,180,9.2245
25.0,nan,1200,300.0,64,256,516.8,516.8,Steel-steel,16,64,40.0,600,600,2.1876
20.0,3.0,300,nan,120,360,120.0,100.0,Steel-CI,12,36,100.0,250,180,11.3097
20.0,nan,1000,310.0,155,500,206.81,137.34,Steel-steel,31,100,50.0,450,350,10.7609
25.0,6.0,900,nan,128,768,103.0,55.0,CI-CI,12,76,100.0,300,225,47.6115
20.0,3.0,1200,nan,80,240,233.4,233.4,Steel-steel,16,48,50.0,600,600,2.5133
55.0,3.2,800,nan,160,512,233.4,233.4,Steel-steel,20,64,80.0,450,450,18.0795
12.0,3.9,1170,nan,100,390,220.0,78.5,Steel-CI,16,65,60.0,250,180,7.6388
20.0,3.0,300,nan,150,450,120.0,100.0,Steel-CI,15,45,100.0,250,180,17.6715
5.0,3.0,900,nan,100,300,200.0,140.0,Steel-steel,33,100,30.0,500,450,2.3562
15.0,nan,1400,500.0,150,432,55.0,55.0,CI-CI,18,54,80.0,225,225,13.1396
10.0,nan,400,200.0,400,800,233.4,233.4,Steel-steel,133,266,30.0,300,250,18.8496
10.0,4.0,1440,nan,90,360,400.0,400.0,Steel-steel,30,120,30.0,600,600,3.2445
22.5,2.5,1450,nan,140,350,273.3,133.3,Steel-steel,28,70,50.0,650,180,5.5803
7.5,2.1,1500,nan,76,160,200.0,200.0,Steel-steel,19,40,40.0,600,600,0.9857
5.3,2.05,1450,nan,60,123,200.0,200.0,Steel-steel,20,41,30.0,600,600,0.4413
